RunNumber,Angle
3391,-30
3389,-25
3388,-20
3387,-19
3386,-18
3363,-17
3362,-16
3350,-7
3345,-3
3344,-1
3282,0
3283,1
3290,5
3297,10
3330,18
3331,19
3341,20
3327,23
3328,25
3329,30














