p	1	481
p	14	305
p	15	494
p	17	163
p	18	133
p	21	187
p	22	389
p	30	344
p	34	265
p	42	439
p	47	12
p	52	136
p	70	277
p	76	271
p	77	357
p	79	567
p	86	119
p	87	233
p	111	493
p	112	490
p	131	551
p	139	406
p	145	26
p	153	351
p	154	414
p	158	141
p	165	504
p	171	87
p	171	518
p	178	95
p	178	426
p	186	541
p	191	154
p	195	174
p	195	540
p	196	1
p	199	358
p	212	179
p	225	424
p	232	473
p	241	12
p	249	173
p	256	101
p	257	433
p	261	439
p	264	236
p	269	198
p	276	158
p	280	51
p	296	541
p	301	0
p	304	196
p	305	152
p	313	467
p	314	88
p	316	513
p	320	400
p	321	247
p	323	466
p	324	52
p	329	36
p	342	566
p	343	18
p	346	239
p	348	430
p	371	281
p	374	14
p	375	342
p	376	209
p	376	308
p	377	571
p	380	458
p	382	268
p	385	315
p	392	420
p	392	497
p	393	432
p	394	204
p	401	234
p	401	311
p	404	26
p	404	77
p	407	361
p	411	47
p	413	162
p	418	308
p	419	44
p	426	518
p	428	138
p	434	58
p	441	38
p	441	482
p	449	104
p	454	14
p	463	368
p	470	165
p	470	263
p	471	23
p	472	331
p	476	270
p	488	151
p	491	408
p	500	108
p	501	140
p	506	263
p	509	301
p	510	510
p	511	516
p	517	409
p	519	357
p	521	293
p	522	472
p	525	323
p	526	79
p	534	277
p	539	179
p	542	426
p	544	177
p	546	3
p	552	307
p	553	167
p	555	19
p	556	493
p	563	156
p	567	22
p	568	471
p	569	253
p	570	104
p	572	88
p	576	121
p	576	213
p	577	414
p	585	537
p	587	7
p	587	489
p	598	483
p	599	202
p	603	273
p	610	209
p	612	44
p	612	308
p	616	393
p	617	432
p	627	357
p	629	117
p	631	225
p	634	242
p	641	266
p	643	133
p	644	482
p	645	194
p	655	142
p	656	215
p	656	394
p	659	297
p	666	353
p	672	481
p	676	169
p	678	194
p	678	450
p	688	390
p	695	13
p	695	551
p	697	561
p	698	146
p	698	210
p	698	364
p	699	149
p	709	197
p	712	375
p	717	95
p	718	17
p	733	25
p	756	339
p	759	397
p	760	361
p	765	225
p	770	158
p	770	274
p	771	466
p	783	186
p	783	245
p	787	220
p	790	441
p	792	150
p	795	227
p	804	106
p	805	507
p	811	534
p	823	525
p	826	287
p	831	524
p	833	93
p	833	497
p	834	162
p	834	260
p	835	44
p	839	537
p	841	331
p	850	94
p	854	467
p	857	287
p	863	7
p	864	218
p	865	420
p	868	371
p	874	236
p	874	292
p	875	91
p	876	328
p	876	354
p	879	199
p	882	158
p	882	177
p	882	441
p	887	18
p	887	36
p	890	349
p	894	475
p	899	184
p	899	477
p	900	105
p	902	94
p	906	350
p	911	13
p	914	107
p	915	341
p	918	332
p	927	325
p	929	20
p	929	541
p	930	216
p	935	39
p	937	362
p	938	553
p	942	496
p	943	103
p	944	86
p	946	256
p	951	262
p	951	547
p	955	551
p	958	243
p	967	163
p	968	72
p	970	136
p	977	8
p	978	307
p	979	417
p	981	403
p	982	353
p	983	248
p	983	270
p	984	165
p	984	386
p	991	521
p	992	44
p	996	267
p	996	470
p	997	37
p	998	273
p	1006	126
p	1007	425
p	1008	564
p	1009	66
p	1011	96
p	1015	561
p	1016	85
p	1016	356
p	1016	551
p	1023	40
p	1024	221
p	1025	350
p	1025	541
p	1026	131
p	1029	342
p	1029	377
p	1033	163
p	1035	259
p	1037	262
p	1040	327
p	1040	360
p	1044	156
p	1045	185
p	1045	538
p	1049	49
p	1052	200
p	1054	76
p	1054	195
p	1056	434
p	1062	523
p	1066	97
p	1066	212
p	1067	16
p	1067	232
p	1069	340
p	1070	246
p	1070	409
p	1071	197
p	1071	278
p	1073	550
p	1076	92
p	1077	164
p	1077	377
p	1078	163
p	1079	259
p	1080	100
p	1082	175
p	1082	333
p	1083	274
p	1087	311
p	1090	131
p	1091	71
p	1091	118
p	1091	220
p	1091	487
p	1091	529
p	1093	29
p	1093	336
p	1093	452
p	1094	25
p	1094	262
p	1103	524
p	1115	462
p	1119	558
p	1120	121
p	1123	333
p	1124	213
p	1124	304
p	1126	150
p	1126	280
p	1127	158
p	1127	543
p	1128	38
p	1132	210
p	1132	410
p	1136	206
p	1136	454
p	1136	459
p	1137	9
p	1139	557
p	1140	35
p	1141	181
p	1144	422
p	1148	229
p	1148	544
p	1149	103
p	1151	75
p	1151	432
p	1151	501
