RunNumber,Angle
3391,-30
3389,-25
3388,-20
3387,-19
3386,-18
3363,-17
3362,-16
3352,-15
3351,-10
3350,-7
3349,-5
3345,-3
3344,-1
3282,0
3283,1
3287,2
3288,3
3289,4
3290,5
3291,6
3292,7
3293,8
3294,9
3297,10
3298,11
3300,12
3305,13,
3306,14
3307,15
3309,16
3310,17
3330,18
3331,19
3341,20
3327,23
3328,25
3329,30














